"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"4",8,"1966-07-13","Italy",2,0,"Chile","Roker Park, Sunderland",1966,"England"
"4",12,"1966-07-15","Chile",1,1,"North_Korea","Ayresome Park, Middlesbrough",1966,"England"
"4",16,"1966-07-16","Soviet_Union",1,0,"Italy","Roker Park, Sunderland",1966,"England"
"4",20,"1966-07-19","North_Korea",1,0,"Italy","Ayresome Park, Middlesbrough",1966,"England"
"4",24,"1966-07-20","Soviet_Union",2,1,"Chile","Roker Park, Sunderland",1966,"England"
"Quarter-finals",25,"1966-07-23","England",1,0,"Argentina","Wembley Stadium, London",1966,"England"
"Quarter-finals",26,"1966-07-23","West_Germany",4,0,"Uruguay","Hillsborough Stadium, Sheffield",1966,"England"
"Quarter-finals",27,"1966-07-23","Soviet_Union",2,1,"Hungary","Roker Park, Sunderland",1966,"England"
"Quarter-finals",28,"1966-07-23","Portugal",5,3,"North_Korea","Goodison Park, Liverpool",1966,"England"
"Semi-finals",29,"1966-07-25","West_Germany",2,1,"Soviet_Union","Goodison Park, Liverpool",1966,"England"
"Semi-finals",30,"1966-07-26","England",2,1,"Portugal","Wembley Stadium, London",1966,"England"
"Semi-finals",31,"1966-07-28","Portugal",2,1,"Soviet_Union","Wembley Stadium, London",1966,"England"
"Final",32,"1966-07-30","England",4,2,"West_Germany","Wembley Stadium, London",1966,"England"
"1",1,"1970-05-31","Mexico",0,0,"Soviet_Union","Estadio Azteca, Mexico City",1970,"Mexico"
"1",5,"1970-06-03","Belgium",3,0,"El_Salvador","Estadio Azteca, Mexico City",1970,"Mexico"
"1",9,"1970-06-06","Soviet_Union",4,1,"Belgium","Estadio Azteca, Mexico City",1970,"Mexico"
"1",13,"1970-06-07","Mexico",4,0,"El_Salvador","Estadio Azteca, Mexico City",1970,"Mexico"
"1",17,"1970-06-10","Soviet_Union",2,0,"El_Salvador","Estadio Azteca, Mexico City",1970,"Mexico"
"1",21,"1970-06-11","Mexico",1,0,"Belgium","Estadio Azteca, Mexico City",1970,"Mexico"
"2",2,"1970-06-02","Uruguay",2,0,"Israel","Estadio Cuauhtémoc, Puebla",1970,"Mexico"
"2",6,"1970-06-03","Italy",1,0,"Sweden","Estadio Luis Dosal, Toluca",1970,"Mexico"
"2",10,"1970-06-06","Uruguay",0,0,"Italy","Estadio Cuauhtémoc, Puebla",1970,"Mexico"
"2",14,"1970-06-07","Sweden",1,1,"Israel","Estadio Luis Dosal, Toluca",1970,"Mexico"
"2",18,"1970-06-10","Uruguay",0,1,"Sweden","Estadio Cuauhtémoc, Puebla",1970,"Mexico"
"2",22,"1970-06-11","Israel",0,0,"Italy","Estadio Luis Dosal, Toluca",1970,"Mexico"
"3",3,"1970-06-02","Romania",0,1,"England","Estadio Jalisco, Guadalajara",1970,"Mexico"
"3",7,"1970-06-03","Czechoslovakia",1,4,"Brazil","Estadio Jalisco, Guadalajara",1970,"Mexico"
"3",11,"1970-06-06","Romania",2,1,"Czechoslovakia","Estadio Jalisco, Guadalajara",1970,"Mexico"
"3",15,"1970-06-07","England",0,1,"Brazil","Estadio Jalisco, Guadalajara",1970,"Mexico"
"3",19,"1970-06-10","Romania",2,3,"Brazil","Estadio Jalisco, Guadalajara",1970,"Mexico"
"3",23,"1970-06-11","England",1,0,"Czechoslovakia","Estadio Jalisco, Guadalajara",1970,"Mexico"
"4",4,"1970-06-02","Peru",3,2,"Bulgaria","Estadio Nou Camp, León",1970,"Mexico"
"4",8,"1970-06-03","Morocco",1,2,"West_Germany","Estadio Nou Camp, León",1970,"Mexico"
"4",12,"1970-06-06","Peru",3,0,"Morocco","Estadio Nou Camp, León",1970,"Mexico"
"4",16,"1970-06-07","Bulgaria",2,5,"West_Germany","Estadio Nou Camp, León",1970,"Mexico"
"4",20,"1970-06-10","Peru",1,3,"West_Germany","Estadio Nou Camp, León",1970,"Mexico"
"4",24,"1970-06-11","Bulgaria",1,1,"Morocco","Estadio Nou Camp, León",1970,"Mexico"
"Quarter-finals",25,"1970-06-14","Soviet_Union",0,1,"Uruguay","Estadio Azteca, Mexico City",1970,"Mexico"
"Quarter-finals",26,"1970-06-14","Italy",4,1,"Mexico","Estadio Luis Dosal, Toluca",1970,"Mexico"
"Quarter-finals",27,"1970-06-14","Brazil",4,2,"Peru","Estadio Jalisco, Guadalajara",1970,"Mexico"
"Quarter-finals",28,"1970-06-14","West_Germany",3,2,"England","Estadio Nou Camp, León",1970,"Mexico"
"Semi-finals",29,"1970-06-17","Uruguay",1,3,"Brazil","Estadio Jalisco, Guadalajara",1970,"Mexico"
"Semi-finals",30,"1970-06-17","Italy",4,3,"West_Germany","Estadio Azteca, Mexico City",1970,"Mexico"
